method,tasks,n_samples,dataset,role,acc_final,zs_baseline,delta_vs_zs
ema,2,1024,snake_clef,train,0.2338,0.2276090909090909,0.0062
ema,2,1024,sun397,train,68.3526,68.7172090909091,-0.3646
ema,2,1024,synthclip106,train,41.0197,42.928427272727276,-1.9087
ema,2,1024,veg200,train,32.145,34.37340909090909,-2.2284
ema,2,1024,zappos50k,train,17.4984,17.60701818181818,-0.1086
ema,2,2048,clevr,eval,5.4423,5.151090909090909,0.2912
ema,2,2048,imagenet,eval,60.758,66.14672727272726,-5.3887
ema,2,2048,imagenet_a,eval,20.24,25.911522727272725,-5.6715
ema,2,2048,imagenet_d,eval,35.9462,41.191131818181816,-5.2449
ema,2,2048,imagenet_r,eval,69.97,74.9322590909091,-4.9623
ema,2,2048,imagenet_s,eval,46.7036,53.114804545454554,-6.4112
ema,2,2048,imagenet_v2,eval,52.47,56.23545454545455,-3.7655
ema,2,2048,mvtecad_eval,eval,12.4638,16.666672727272726,-4.2029
ema,2,2048,plantvillage,eval,21.4161,30.775695454545453,-9.3596
ema,2,2048,artbench10,train,10.9484,13.974545454545455,-3.0261
ema,2,2048,birdsnap,train,39.8897,44.64882727272727,-4.7591
ema,2,2048,cifar100,train,49.81,69.78999999999999,-19.98
ema,2,2048,clrs,train,54.1695,57.975336363636366,-3.8058
ema,2,2048,country211,train,13.0521,17.604045454545453,-4.5519
ema,2,2048,cub200,train,56.7311,62.978972727272726,-6.2479
ema,2,2048,df20mini,train,1.8147,3.251940909090909,-1.4372
ema,2,2048,dollarstreet,train,4.4114,5.2002,-0.7888
ema,2,2048,domainnet_clipart,train,75.0274,78.53454545454545,-3.5071
ema,2,2048,domainnet_infograph,train,48.9218,52.71060909090909,-3.7888
ema,2,2048,domainnet_painting,train,68.5767,72.76218636363636,-4.1855
ema,2,2048,domainnet_sketch,train,64.9407,69.53313181818181,-4.5924
ema,2,2048,dtd,train,45.0,54.54545909090909,-9.5455
ema,2,2048,fgvcaircraft,train,22.2022,25.003368181818185,-2.8012
ema,2,2048,flowers102,train,64.5098,66.09177272727271,-1.582
ema,2,2048,fru92,train,46.4674,51.312236363636366,-4.8448
ema,2,2048,inaturalist2021,train,4.816,5.363090909090909,-0.5471
ema,2,2048,mitstates,train,22.7142,24.98922272727273,-2.275
ema,2,2048,mtsd,train,16.9051,21.98695,-5.0818
ema,2,2048,objectnet,train,25.6627,33.58896818181818,-7.9263
ema,2,2048,obsc_animals,train,55.781,59.89427727272727,-4.1133
ema,2,2048,obsc_things,train,50.7566,55.38904090909091,-4.6324
ema,2,2048,openimages,train,47.6434,45.95072272727273,1.6927
ema,2,2048,patternnet,train,63.0789,62.589690909090905,0.4892
ema,2,2048,places365,train,40.3381,38.46659090909091,1.8715
ema,2,2048,quilt,train,0.1627,0.27327727272727276,-0.1106
ema,2,2048,resisc45,train,51.127,63.393249999999995,-12.2662
ema,2,2048,shapes3d,train,15.996,15.518545454545455,0.4775
ema,2,2048,snake_clef,train,0.1558,0.2276090909090909,-0.0718
ema,2,2048,sun397,train,66.1108,68.7172090909091,-2.6064
ema,2,2048,synthclip106,train,37.9735,42.928427272727276,-4.9549
ema,2,2048,veg200,train,28.3,34.37340909090909,-6.0734
ema,2,2048,zappos50k,train,14.7177,17.60701818181818,-2.8893
ema,3,1024,clevr,eval,4.8487,5.151090909090909,-0.3024
ema,3,1024,imagenet,eval,65.632,66.14672727272726,-0.5147
ema,3,1024,imagenet_a,eval,23.24,25.911522727272725,-2.6715
ema,3,1024,imagenet_d,eval,41.2203,41.191131818181816,0.0292
ema,3,1024,imagenet_r,eval,74.0333,74.9322590909091,-0.899
ema,3,1024,imagenet_s,eval,52.3021,53.114804545454554,-0.8127
ema,3,1024,imagenet_v2,eval,57.51,56.23545454545455,1.2745
ema,3,1024,mvtecad_eval,eval,16.8116,16.666672727272726,0.1449
ema,3,1024,plantvillage,eval,29.0489,30.775695454545453,-1.7268
ema,3,1024,artbench10,train,15.013,13.974545454545455,1.0385
ema,3,1024,birdsnap,train,46.8597,44.64882727272727,2.2109
ema,3,1024,cifar100,train,75.38,69.78999999999999,5.59
ema,3,1024,clrs,train,59.7288,57.975336363636366,1.7535
ema,3,1024,country211,train,14.4028,17.604045454545453,-3.2012
ema,3,1024,cub200,train,64.3424,62.978972727272726,1.3634
ema,3,1024,df20mini,train,2.3921,3.251940909090909,-0.8598
ema,3,1024,dollarstreet,train,5.63,5.2002,0.4298
ema,3,1024,domainnet_clipart,train,78.725,78.53454545454545,0.1905
ema,3,1024,domainnet_infograph,train,51.2835,52.71060909090909,-1.4271
ema,3,1024,domainnet_painting,train,72.0503,72.76218636363636,-0.7119
ema,3,1024,domainnet_sketch,train,68.9663,69.53313181818181,-0.5668
ema,3,1024,dtd,train,54.5745,54.54545909090909,0.029
ema,3,1024,fgvcaircraft,train,24.6625,25.003368181818185,-0.3409
ema,3,1024,flowers102,train,68.4314,66.09177272727271,2.3396
ema,3,1024,fru92,train,49.837,51.312236363636366,-1.4752
ema,3,1024,inaturalist2021,train,5.364,5.363090909090909,0.0009
ema,3,1024,mitstates,train,25.5139,24.98922272727273,0.5247
ema,3,1024,mtsd,train,20.3159,21.98695,-1.6711
ema,3,1024,objectnet,train,32.2005,33.58896818181818,-1.3885
ema,3,1024,obsc_animals,train,59.3204,59.89427727272727,-0.5739
ema,3,1024,obsc_things,train,54.4136,55.38904090909091,-0.9754
ema,3,1024,openimages,train,49.3774,45.95072272727273,3.4267
ema,3,1024,patternnet,train,63.6842,62.589690909090905,1.0945
ema,3,1024,places365,train,41.834,38.46659090909091,3.3674
ema,3,1024,quilt,train,0.2545,0.27327727272727276,-0.0188
ema,3,1024,resisc45,train,62.4127,63.393249999999995,-0.9805
ema,3,1024,shapes3d,train,17.56,15.518545454545455,2.0415
ema,3,1024,snake_clef,train,0.2408,0.2276090909090909,0.0132
ema,3,1024,sun397,train,68.3426,68.7172090909091,-0.3746
ema,3,1024,synthclip106,train,41.279,42.928427272727276,-1.6494
ema,3,1024,veg200,train,32.09,34.37340909090909,-2.2834
ema,3,1024,zappos50k,train,17.361,17.60701818181818,-0.246
ema,3,2048,clevr,eval,3.8261,5.151090909090909,-1.325
ema,3,2048,imagenet,eval,48.216,66.14672727272726,-17.9307
ema,3,2048,imagenet_a,eval,13.2533,25.911522727272725,-12.6582
ema,3,2048,imagenet_d,eval,31.727,41.191131818181816,-9.4641
ema,3,2048,imagenet_r,eval,60.8733,74.9322590909091,-14.059
ema,3,2048,imagenet_s,eval,37.8549,53.114804545454554,-15.2599
ema,3,2048,imagenet_v2,eval,40.08,56.23545454545455,-16.1555
ema,3,2048,mvtecad_eval,eval,9.8551,16.666672727272726,-6.8116
ema,3,2048,plantvillage,eval,16.6651,30.775695454545453,-14.1106
ema,3,2048,artbench10,train,5.3943,13.974545454545455,-8.5802
ema,3,2048,birdsnap,train,29.6477,44.64882727272727,-15.0011
ema,3,2048,cifar100,train,32.27,69.78999999999999,-37.52
ema,3,2048,clrs,train,43.7966,57.975336363636366,-14.1787
ema,3,2048,country211,train,9.2417,17.604045454545453,-8.3623
ema,3,2048,cub200,train,45.4781,62.978972727272726,-17.5009
ema,3,2048,df20mini,train,0.9623,3.251940909090909,-2.2896
ema,3,2048,dollarstreet,train,3.0953,5.2002,-2.1049
ema,3,2048,domainnet_clipart,train,68.4949,78.53454545454545,-10.0396
ema,3,2048,domainnet_infograph,train,43.8583,52.71060909090909,-8.8523
ema,3,2048,domainnet_painting,train,59.9405,72.76218636363636,-12.8217
ema,3,2048,domainnet_sketch,train,58.2186,69.53313181818181,-11.3145
ema,3,2048,dtd,train,37.4468,54.54545909090909,-17.0987
ema,3,2048,fgvcaircraft,train,15.0015,25.003368181818185,-10.0019
ema,3,2048,flowers102,train,48.8235,66.09177272727271,-17.2683
ema,3,2048,fru92,train,27.6957,51.312236363636366,-23.6165
ema,3,2048,inaturalist2021,train,2.664,5.363090909090909,-2.6991
ema,3,2048,mitstates,train,17.7286,24.98922272727273,-7.2606
ema,3,2048,mtsd,train,13.2082,21.98695,-8.7788
ema,3,2048,objectnet,train,15.2781,33.58896818181818,-18.3109
ema,3,2048,obsc_animals,train,45.6111,59.89427727272727,-14.2832
ema,3,2048,obsc_things,train,41.8243,55.38904090909091,-13.5647
ema,3,2048,openimages,train,41.0567,45.95072272727273,-4.894
ema,3,2048,patternnet,train,42.9737,62.589690909090905,-19.616
ema,3,2048,places365,train,35.1407,38.46659090909091,-3.3259
ema,3,2048,quilt,train,0.1127,0.27327727272727276,-0.1606
ema,3,2048,resisc45,train,43.9365,63.393249999999995,-19.4567
ema,3,2048,shapes3d,train,13.448,15.518545454545455,-2.0705
ema,3,2048,snake_clef,train,0.1558,0.2276090909090909,-0.0718
ema,3,2048,sun397,train,55.728,68.7172090909091,-12.9892
ema,3,2048,synthclip106,train,32.594,42.928427272727276,-10.3344
ema,3,2048,veg200,train,15.77,34.37340909090909,-18.6034
ema,3,2048,zappos50k,train,6.5447,17.60701818181818,-11.0623
ema,4,1024,clevr,eval,4.7129,5.151090909090909,-0.4382
ema,4,1024,imagenet,eval,64.908,66.14672727272726,-1.2387
ema,4,1024,imagenet_a,eval,23.5067,25.911522727272725,-2.4048
ema,4,1024,imagenet_d,eval,41.4064,41.191131818181816,0.2153
ema,4,1024,imagenet_r,eval,74.06,74.9322590909091,-0.8723
ema,4,1024,imagenet_s,eval,51.3981,53.114804545454554,-1.7167
ema,4,1024,imagenet_v2,eval,56.98,56.23545454545455,0.7445
ema,4,1024,mvtecad_eval,eval,15.6522,16.666672727272726,-1.0145
ema,4,1024,plantvillage,eval,27.6494,30.775695454545453,-3.1263
ema,4,1024,artbench10,train,14.2304,13.974545454545455,0.2559
ema,4,1024,birdsnap,train,46.0825,44.64882727272727,1.4337
ema,4,1024,cifar100,train,72.95,69.78999999999999,3.16
ema,4,1024,clrs,train,56.8136,57.975336363636366,-1.1617
ema,4,1024,country211,train,14.1706,17.604045454545453,-3.4334
ema,4,1024,cub200,train,62.8409,62.978972727272726,-0.1381
ema,4,1024,df20mini,train,2.1721,3.251940909090909,-1.0798
ema,4,1024,dollarstreet,train,5.1426,5.2002,-0.0576
ema,4,1024,domainnet_clipart,train,77.8759,78.53454545454545,-0.6586
ema,4,1024,domainnet_infograph,train,50.937,52.71060909090909,-1.7736
ema,4,1024,domainnet_painting,train,71.6705,72.76218636363636,-1.0917
ema,4,1024,domainnet_sketch,train,68.6173,69.53313181818181,-0.9158
ema,4,1024,dtd,train,53.3511,54.54545909090909,-1.1944
ema,4,1024,fgvcaircraft,train,23.2523,25.003368181818185,-1.7511
ema,4,1024,flowers102,train,67.0588,66.09177272727271,0.967
ema,4,1024,fru92,train,47.2065,51.312236363636366,-4.1057
ema,4,1024,inaturalist2021,train,4.98,5.363090909090909,-0.3831
ema,4,1024,mitstates,train,25.4953,24.98922272727273,0.5061
ema,4,1024,mtsd,train,18.8394,21.98695,-3.1475
ema,4,1024,objectnet,train,30.4265,33.58896818181818,-3.1625
ema,4,1024,obsc_animals,train,59.2025,59.89427727272727,-0.6918
ema,4,1024,obsc_things,train,54.0773,55.38904090909091,-1.3117
ema,4,1024,openimages,train,49.5869,45.95072272727273,3.6362
ema,4,1024,patternnet,train,60.8947,62.589690909090905,-1.695
ema,4,1024,places365,train,41.4477,38.46659090909091,2.9811
ema,4,1024,quilt,train,0.9972,0.27327727272727276,0.7239
ema,4,1024,resisc45,train,60.0952,63.393249999999995,-3.298
ema,4,1024,shapes3d,train,19.508,15.518545454545455,3.9895
ema,4,1024,snake_clef,train,0.3117,0.2276090909090909,0.0841
ema,4,1024,sun397,train,67.5164,68.7172090909091,-1.2008
ema,4,1024,synthclip106,train,40.1916,42.928427272727276,-2.7368
ema,4,1024,veg200,train,30.07,34.37340909090909,-4.3034
ema,4,1024,zappos50k,train,16.8957,17.60701818181818,-0.7113
ema,4,2048,clevr,eval,2.3886,5.151090909090909,-2.7625
ema,4,2048,imagenet,eval,23.04,66.14672727272726,-43.1067
ema,4,2048,imagenet_a,eval,7.5467,25.911522727272725,-18.3648
ema,4,2048,imagenet_d,eval,18.9245,41.191131818181816,-22.2666
ema,4,2048,imagenet_r,eval,35.68,74.9322590909091,-39.2523
ema,4,2048,imagenet_s,eval,12.2561,53.114804545454554,-40.8587
ema,4,2048,imagenet_v2,eval,18.71,56.23545454545455,-37.5255
ema,4,2048,mvtecad_eval,eval,14.4928,16.666672727272726,-2.1739
ema,4,2048,plantvillage,eval,11.8589,30.775695454545453,-18.9168
ema,4,2048,artbench10,train,1.9103,13.974545454545455,-12.0642
ema,4,2048,birdsnap,train,10.9941,44.64882727272727,-33.6547
ema,4,2048,cifar100,train,13.35,69.78999999999999,-56.44
ema,4,2048,clrs,train,13.8305,57.975336363636366,-44.1448
ema,4,2048,country211,train,4.0095,17.604045454545453,-13.5945
ema,4,2048,cub200,train,20.7456,62.978972727272726,-42.2334
ema,4,2048,df20mini,train,0.7699,3.251940909090909,-2.482
ema,4,2048,dollarstreet,train,1.048,5.2002,-4.1522
ema,4,2048,domainnet_clipart,train,36.7571,78.53454545454545,-41.7774
ema,4,2048,domainnet_infograph,train,25.1637,52.71060909090909,-27.5469
ema,4,2048,domainnet_painting,train,35.6842,72.76218636363636,-37.078
ema,4,2048,domainnet_sketch,train,26.0136,69.53313181818181,-43.5195
ema,4,2048,dtd,train,23.5638,54.54545909090909,-30.9817
ema,4,2048,fgvcaircraft,train,4.9805,25.003368181818185,-20.0229
ema,4,2048,flowers102,train,21.9608,66.09177272727271,-44.131
ema,4,2048,fru92,train,19.4457,51.312236363636366,-31.8665
ema,4,2048,inaturalist2021,train,1.176,5.363090909090909,-4.1871
ema,4,2048,mitstates,train,8.5666,24.98922272727273,-16.4226
ema,4,2048,mtsd,train,8.9047,21.98695,-13.0822
ema,4,2048,objectnet,train,6.767,33.58896818181818,-26.822
ema,4,2048,obsc_animals,train,26.0972,59.89427727272727,-33.7971
ema,4,2048,obsc_things,train,29.7394,55.38904090909091,-25.6496
ema,4,2048,openimages,train,30.0477,45.95072272727273,-15.903
ema,4,2048,patternnet,train,13.5526,62.589690909090905,-49.0371
ema,4,2048,places365,train,17.0114,38.46659090909091,-21.4552
ema,4,2048,quilt,train,0.2545,0.27327727272727276,-0.0188
ema,4,2048,resisc45,train,12.873,63.393249999999995,-50.5202
ema,4,2048,shapes3d,train,2.824,15.518545454545455,-12.6945
ema,4,2048,snake_clef,train,0.3046,0.2276090909090909,0.077
ema,4,2048,sun397,train,25.2141,68.7172090909091,-43.5031
ema,4,2048,synthclip106,train,18.083,42.928427272727276,-24.8454
ema,4,2048,veg200,train,8.625,34.37340909090909,-25.7484
ema,4,2048,zappos50k,train,0.5075,17.60701818181818,-17.0995
ema,5,1024,clevr,eval,4.7987,5.151090909090909,-0.3524
ema,5,1024,imagenet,eval,65.406,66.14672727272726,-0.7407
ema,5,1024,imagenet_a,eval,22.8933,25.911522727272725,-3.0182
ema,5,1024,imagenet_d,eval,40.0207,41.191131818181816,-1.1704
ema,5,1024,imagenet_r,eval,73.9467,74.9322590909091,-0.9856
ema,5,1024,imagenet_s,eval,52.1861,53.114804545454554,-0.9287
ema,5,1024,imagenet_v2,eval,57.04,56.23545454545455,0.8045
ema,5,1024,mvtecad_eval,eval,16.5217,16.666672727272726,-0.145
ema,5,1024,plantvillage,eval,30.6878,30.775695454545453,-0.0879
ema,5,1024,artbench10,train,14.7017,13.974545454545455,0.7272
ema,5,1024,birdsnap,train,46.4586,44.64882727272727,1.8098
ema,5,1024,cifar100,train,74.29,69.78999999999999,4.5
ema,5,1024,clrs,train,59.1864,57.975336363636366,1.2111
ema,5,1024,country211,train,14.7678,17.604045454545453,-2.8362
ema,5,1024,cub200,train,63.514,62.978972727272726,0.535
ema,5,1024,df20mini,train,2.3371,3.251940909090909,-0.9148
ema,5,1024,dollarstreet,train,5.8006,5.2002,0.6004
ema,5,1024,domainnet_clipart,train,78.4853,78.53454545454545,-0.0492
ema,5,1024,domainnet_infograph,train,50.9177,52.71060909090909,-1.7929
ema,5,1024,domainnet_painting,train,71.8352,72.76218636363636,-0.927
ema,5,1024,domainnet_sketch,train,68.8946,69.53313181818181,-0.6385
ema,5,1024,dtd,train,53.5106,54.54545909090909,-1.0349
ema,5,1024,fgvcaircraft,train,24.3924,25.003368181818185,-0.611
ema,5,1024,flowers102,train,68.1373,66.09177272727271,2.0455
ema,5,1024,fru92,train,50.5109,51.312236363636366,-0.8013
ema,5,1024,inaturalist2021,train,5.388,5.363090909090909,0.0249
ema,5,1024,mitstates,train,25.5697,24.98922272727273,0.5805
ema,5,1024,mtsd,train,19.4918,21.98695,-2.4951
ema,5,1024,objectnet,train,31.3733,33.58896818181818,-2.2157
ema,5,1024,obsc_animals,train,59.2025,59.89427727272727,-0.6918
ema,5,1024,obsc_things,train,54.7709,55.38904090909091,-0.6181
ema,5,1024,openimages,train,48.9585,45.95072272727273,3.0078
ema,5,1024,patternnet,train,63.2105,62.589690909090905,0.6208
ema,5,1024,places365,train,41.9518,38.46659090909091,3.4852
ema,5,1024,quilt,train,0.3672,0.27327727272727276,0.0939
ema,5,1024,resisc45,train,61.8254,63.393249999999995,-1.5678
ema,5,1024,shapes3d,train,18.496,15.518545454545455,2.9775
ema,5,1024,snake_clef,train,0.1842,0.2276090909090909,-0.0434
ema,5,1024,sun397,train,68.2569,68.7172090909091,-0.4603
ema,5,1024,synthclip106,train,40.3284,42.928427272727276,-2.6
ema,5,1024,veg200,train,31.96,34.37340909090909,-2.4134
ema,5,1024,zappos50k,train,17.0332,17.60701818181818,-0.5738
ema,5,2048,clevr,eval,1.0084,5.151090909090909,-4.1427
ema,5,2048,imagenet,eval,1.72,66.14672727272726,-64.4267
ema,5,2048,imagenet_a,eval,1.2667,25.911522727272725,-24.6448
ema,5,2048,imagenet_d,eval,2.9576,41.191131818181816,-38.2335
ema,5,2048,imagenet_r,eval,4.2933,74.9322590909091,-70.639
ema,5,2048,imagenet_s,eval,0.9943,53.114804545454554,-52.1205
ema,5,2048,imagenet_v2,eval,1.59,56.23545454545455,-54.6455
ema,5,2048,mvtecad_eval,eval,2.8986,16.666672727272726,-13.7681
ema,5,2048,plantvillage,eval,6.8134,30.775695454545453,-23.9623
ema,5,2048,artbench10,train,0.4628,13.974545454545455,-13.5117
ema,5,2048,birdsnap,train,0.4137,44.64882727272727,-44.2351
ema,5,2048,cifar100,train,3.21,69.78999999999999,-66.58
ema,5,2048,clrs,train,10.4407,57.975336363636366,-47.5346
ema,5,2048,country211,train,1.5592,17.604045454545453,-16.0448
ema,5,2048,cub200,train,1.0356,62.978972727272726,-61.9434
ema,5,2048,df20mini,train,0.4674,3.251940909090909,-2.7845
ema,5,2048,dollarstreet,train,0.2681,5.2002,-4.9321
ema,5,2048,domainnet_clipart,train,6.5804,78.53454545454545,-71.9541
ema,5,2048,domainnet_infograph,train,3.7094,52.71060909090909,-49.0012
ema,5,2048,domainnet_painting,train,5.6064,72.76218636363636,-67.1558
ema,5,2048,domainnet_sketch,train,5.0488,69.53313181818181,-64.4843
ema,5,2048,dtd,train,9.9468,54.54545909090909,-44.5987
ema,5,2048,fgvcaircraft,train,0.8401,25.003368181818185,-24.1633
ema,5,2048,flowers102,train,3.5294,66.09177272727271,-62.5624
ema,5,2048,fru92,train,5.587,51.312236363636366,-45.7252
ema,5,2048,inaturalist2021,train,0.148,5.363090909090909,-5.2151
